Programa;Observaciones;Responsable;Version 2010;Versión inicio 201210;Versión inicio 201310
7-Zip;;;9.20.00.0;9.2;9.2
ActivePerl;;;5.12.1202;5.14.2.1402;5.16.1.1601
Adobe Flash Player Plugin  (2 navegadores);;;10.1.102.64;11.0.1.152;11.5.502.110
Adobe Reader;;;10.0.0;10.1.1;11.0
Foxit;;;;;5.4.30920
Adobe Shockwave Plugin  (2 navegadores);;;11.5.9.615;11.6.3.633;11.6.8.638
Agente Admonsis Doble sesion;"Carpeta que contiene agentes localizada en c:\Agentes
";;;;
Agente UnaCloud;Carpeta que contiene agentes localizada en c:\Agentes;hcastro;;;
alpheratz;;;2.0;2.1.4;2.1.4
Altova DatabaseSpy (x64);Licencias Vencen en Agosto 2013;jujimene ;2011.00.01;2011.00.00;2013.00.00
Altova DiffDog (x64);Licencias Vencen en Agosto 2013;jujimene ;2011.00.02;2011.00.02;2013.00.00
Altova MapForce (x64);Licencias Vencen en Agosto 2013;jujimene ;2011.00.03;2011.00.03;2013.00.00
Altova MapForce FlexText (x64);Licencias Vencen en Agosto 2013;jujimene ;2011.00.04;2011.00.04;2013.00.00
Altova SchemaAgent (x64);Licencias Vencen en Agosto 2013;jujimene ;2011.00.05;2011.00.05;2013.00.00
Altova SemanticWorks (x64);Licencias Vencen en Agosto 2013;jujimene ;2011.00.06;2011.00.06;2013.00.00
Altova StyleVision (x64);Licencias Vencen en Agosto 2013;jujimene ;2011.00.07;2011.00.07;2013.00.00
Altova UModel (x64);Licencias Vencen en Agosto 2013;jujimene ;2011.00.08;2011.00.08;2013.00.00
Altova XMLSpy (x64);Licencias Vencen en Agosto 2013;jujimene ;2011.00.09;2011.00.09;2013.00.00
ant;;;1.7.2;1.8.2;1.8.2
apache derby;;;10.6.1.0;10.8.2.2;10.8.2.2
apache velocity;;;1.6.2;1.7;1.7
App inventor;;;1.2;1.2;1.2
Apple Safari;;;5.33.19.4;5.33.19.4;5.1.7(7534.57.2)
aptana studio;;;1,5;3.0.6;3.2.2
ArcGis;;;10.0.2800;10.0.3600;
Arena ;Lo Instala el DTI;marc-her;;13.5;
BizAgi;;;1.5.1.5;2.1.0.1;2.4.0.4
BizzDesign;Licencia Vence el 1 de Septiembre del 2014;lc.manzur441;2.3.0;3.2.1;3.3.1
blender;;;2.49b;2.60a;2.60a
boost c++ libraries;;;1.36.0;1.47.0;1.47.0
Bullzip;;;7.1.0.1218;7.2.0.1320;9.2.0.1499
cg tutorial;;;;;
cmake;;;2,8;2.8.6;2.8.10.1
Cygwin;;;6.1 WOW64;1.7;1.7
denim;;;2,1;2.1;2.1
Dev-C++;;;4.9.9.2;4.9.9.2;4.9.9.2
DirectX SDK;;;Junio 2010;Junio 2010;Junio 2010
DirectX SDK;;;Marzo 2010;-;
DivX;;;2.2.0.24;8.1.3;8.2.4
doxygen;;;1.5.9;1.7.5.1;1.8.2
easyphp;;;3.0;5.3.8.1;5.4.6
eclipse apoo;;;3.5.2;3.5.2;3.5.2
eclipse blackberry;;;3.5;3.5;3.5
eclipse datos;;;3.5.2;3.5.2;3.5.2
eclipse helios;;;3.6.1;3.6.1;3.6.1
eclipse Jess;;;3.5.3;3.5.3;3.5.3
Enterprise Architect;;;7.5.845.139;9.2;9.2
Filezilla FTP Client;;;3.3.5.1;3.5.2;3.6.0.1
Ghostscript;;;8.70;9.02;9.06
GlassFish Enterprise Server;Instalarlo en C:\Software;;3.0.1;3.1;
glib;;;2.12.12 2.16.3 2.18.2.1 2.24.0.2;2,31,0;2,31,0
GPUComputing SDK;;hcastro;;4.0;4.2
graphviz;;;;2.28.0;2.28.0
gtk2-runtime;;;;2.22.0-2010-10-21;2.22.0
gwt;;;2.0.0;2.4.0;2.4.0
HxD Hex Editor;;;1.7.7.0;1.7.7.0;1.7.7.0
IBM Rational Rose;;;7.0.0.0;7.0.0.0;7.0.0.0
IBM SPSS Statistics;Lo Instala el DTI;marc-her;;19 o posterior;19 o posterior
Internet Explorer;;;8.0.7600.16385;9;9
InsightToolkit;;marc-her;;;4.2.1
ImageJ;;marc-her;;;1.46
ITGuru;;hcastro;9.1 PL1;;
J3D;;;1.5.2;1.5.2;1.5.2
jakarta;;;1.8.1;1.8.1;1.8.1
java wireless toolkit;;;2.5.2.01;2.5.2.01;2.5.2.01
JBossGA;;;6.0.0.20101110-CR1;7.0;7.0
Jdeveloper;;;;11.1.1.5.0;11.1.1.5.0
jdk;;;6 update 20;6 update 20;6 update 20
jdk;;;5 update 22;5 update 22;5 update 22
jess;;;71p2;71p2;71p2
JFX sdk;;;1,3;2.0.1;2.0.1
JMF;;;2.1.1e;2.1.1e;2.1.1e
jogl;;;2.0;2.0;2.0
jre;;;6 update 21;6 update 20;6 update 20
jre;;;5 update 22;5 update 22;5 update 22
jre;;;4 update 2.11;-;
jws developer;"Requiere Tomcat 5.0 jwsdp instalado en c:\Software
";;2;2;2
libido;;;;;
Lockdown Browser - Respondus(2011);Lo instala el DTI;;1.02.0001;1.0.4.23;1.0.4.23
Matlab;Lo Instala el MOX;marc-her;;7.12;7.12
mevislab;;;2.0vc9;2.2.1vc10-64;2.2.1vc10-64
micmac;"Requiere .NET Fx 1.1.4322 instalado
";;6.1.2;6.1.2;6.1.2
Microsoft CAPICOM SDK;;;2.1.0.2;2.1.0.2;2.1.0.2
Microsoft Framework NET;;;4.0.30319;4.0.30319;4.0.30319
Microsoft Office Excel;;;14.0.4763.1000;14.0.4763.1000;14.0.4763.1000
Microsoft Office InfoPath;;;14.0.4763.1000;14.0.4763.1000;14.0.4763.1000
Microsoft Office PowerPoint ;;;14.0.4763.1000;14.0.4763.1000;14.0.4763.1000
Microsoft Office Project;;;14.0.4763.1000;14.0.4763.1000;14.0.4763.1000
Microsoft Office Publisher;;;14.0.4763.1000;14.0.4763.1000;14.0.4763.1000
Microsoft Office Visio;;;14.0.4763.1000;14.0.4763.1000;14.0.4763.1000
Microsoft Office Word ;;;14.0.4763.1000;14.0.4763.1000;14.0.4763.1000
Microsoft Silverlight SDK;;;3.0.40818.0;;
Microsoft SQL Server;;;10.2.4000.0;10.50.1617.0;10.50.1617.0
Microsoft Telnet Client;;;6.1 (7600);6.1 (7601);6.1 (7601)
Microsoft TFTP Client;;;6.1 (7600);6.1 (7601);6.1 (7601)
Microsoft Visual Studio;;;10.0.30319;10.0.40219;10.0.40219
Microsoft Windows 7;;;6.1 (7600);6.1 (7601);6.1 (7601)
miktex;;;2.7;2.8.3553;2.8.3553
morphol;;;5.1.2;5.1.2;5.1.2
Mozilla Firefox;;;3.6.12;7.0.1;12.0
MySQL Toad;;;5.0.0.345;6.0.1.1723;
Netbeans-All [Java ME, Ruby, C/C++, Groovy, PHP];;;6.9.1;6.9.1;6.9.1
notepad++;;;5.8.5;5.9.6;6.2.2
Plugin e-brary Reader  (2 navegadores);"Corre sólo en Chrome, y en Safari
";;3.2.3.0;3.2.3.0;3.2.3.0
Processing ;;;1.5.1;1.5.1;1.5.1
protege 3.4.1;;;3.4.1;3.4.1;3.4.1
protege 4.0;;;4.0;4.1;4.1
Python;;;3.1.3150;3.2.2;3.2.2
Python;"Este programa es prerrequisito de wxPython
";;2.6 x64;2.6.4;2.6.4
Python;;;2.5;2.5.4;2.5.4
QuickTime;;;7.68.75.0;7.7.1;7.73.80.64
Roxio;;;10.2;10.2;10.2
SQLDeveloper;;;2.1.1.64;3.0.0.34;3.2.20.87
SSH Secure Shell;;;3.2.9;3.2.9;3.2.9
SUA SDK;;;3.5;010.0.7063.0;010.0.7063.0
Subsistema UNIX;;;10.0.6030.0;10.0.7063.0;10.0.7063.0
swig;;;2.0.0;2.0.4;2.0.4
Symantec Antivirus;Lo instala el DTI;;11.0.5002.333;11.0.7000;11.0.7000
Tomcat;;;6.0.26;7.0.22;7.0.22
Tomcat50-jwsdp;;;;1.5;1.5
TortoiseSVN;;;1.6.20536;1.7.1.22161;1.7.1.22161
tranus model programs;Lo Instala el DTI, es Copy Paste, dejar en C:\Software;Ing Civil;2007.12.2;2009.4.15;2009.4.15
vas;;;1.2.2;1.2.2;1.2.2
Virtual Box;;;4.0.0;4.1.6;4.2.4
vissim;Lo Instala el DTI;Ing Civil;5.20.05 x86;5.30.02x86;5.30.02x86
visum;Lo Instala el DTI;Ing Civil;11.03.06 x86;11.52.00x86;11.52.00x86
VMware Workstation;;;7.0.0.9911;8.0;9.0
vtk;;;5.4;5.6.1;5.6.1
Windows Media Player;;;12.0.7600.16667;12.0.7600.16667;12.0.7600.16667
Windows XP Mode (Microsoft Virtual PC);;;1.3.7600.16422;1.3.7600.16422;1.3.7600.16422
Win32 (WinHelp);;;;;
WinPCap;Según wireshark;;4.1.0.2001;4.1.2;
Wireshark;;;1.4.2;1.6.3;1.8.2
wxPython docs and demos;;;2.8.10.1;2.8.12.1;2.8.12.1
wxWidgets;;;2.8.11;2.8.12;2.8.12
xalanj;;;2.7.1;2.7.1;2.7.1
xerces;;;2.9.0;2.11.0;2.11.0
xming;;;6.9.0.31;6.9.0.32;6.9.0.32
xpress;;Ing Industral;7.0;7.0.2;7.0.2
Wiring;;pfiguero;;1;1
Falcon ;;pfiguero;;4.0.28.0_100707;4.0.28.0_100707
Phidget21-windevel;;pfiguero;;2.1.8.20111121;2.1.8.20111121
Arduino;Copiar y pegar en c:\Software;pfiguero;;;
Kinect;Instalar: 1) OpenNI 1.4.0.2, 2)Nite1.5.0.2, 3) PrimeSense Sensot KinectMod 5.0.5.1, 4) Pegar en c:\Software PrimerSense-Sensor;pfiguero;;;
Phantom Device Drivers;;pfiguero;;4.2.131;4.2.131
